# class	index	talent_path  (from twow-core origin/main 9468eff5, aiplayerbot.conf.dist.in PremadeSpecName.<class>.<index>; specNo = index + 1)
1	0	fury
1	1	protection
1	2	arms
2	0	holy
2	1	protection
2	2	retribution
3	0	beastmastery
3	1	marksmanship
3	2	survival
4	0	combat
4	1	assassination
4	2	subtlety
5	0	holy
5	1	shadow
5	2	discipline
7	0	restoration
7	1	enhancement
7	2	elemental
8	0	arcane
8	1	fire
8	2	frost
9	0	affliction
9	1	demonology
9	2	destruction
11	0	balance
11	1	feral
11	2	restoration
