population_key	skill_id	profession_key	profession_name	category	observed_bot_count	observed_minimum_value	observed_maximum_value	source_dbc_provenance	source_code_provenance
random_account_stock	129	first_aid	First Aid	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	142	survival	Survival	custom_secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	164	blacksmithing	Blacksmithing	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	165	leatherworking	Leatherworking	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	171	alchemy	Alchemy	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	182	herbalism	Herbalism	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	185	cooking	Cooking	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	186	mining	Mining	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	197	tailoring	Tailoring	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	202	engineering	Engineering	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	333	enchanting	Enchanting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	356	fishing	Fishing	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	393	skinning	Skinning	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
random_account_stock	755	jewelcrafting	Jewelcrafting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	129	first_aid	First Aid	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	142	survival	Survival	custom_secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	164	blacksmithing	Blacksmithing	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	165	leatherworking	Leatherworking	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	171	alchemy	Alchemy	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	182	herbalism	Herbalism	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	185	cooking	Cooking	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	186	mining	Mining	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	197	tailoring	Tailoring	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	202	engineering	Engineering	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	333	enchanting	Enchanting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	356	fishing	Fishing	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	393	skinning	Skinning	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
active_random_rotation	755	jewelcrafting	Jewelcrafting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	129	first_aid	First Aid	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	142	survival	Survival	custom_secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	164	blacksmithing	Blacksmithing	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	165	leatherworking	Leatherworking	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	171	alchemy	Alchemy	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	182	herbalism	Herbalism	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	185	cooking	Cooking	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	186	mining	Mining	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	197	tailoring	Tailoring	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	202	engineering	Engineering	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	333	enchanting	Enchanting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	356	fishing	Fishing	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	393	skinning	Skinning	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
inactive_random_reserve	755	jewelcrafting	Jewelcrafting	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
configured_player_owned_always_online	129	first_aid	First Aid	secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
configured_player_owned_always_online	142	survival	Survival	custom_secondary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
configured_player_owned_always_online	164	blacksmithing	Blacksmithing	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
configured_player_owned_always_online	165	leatherworking	Leatherworking	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
configured_player_owned_always_online	171	alchemy	Alchemy	primary_profession	0			SkillLine.dbc	SpellMgr.h IsProfessionSkill
