"record_scope","tracker_id","tracker_name","relative_file_path","git_blob_id","candidate_file_sha256","candidate_file_size_bytes","git_blob_bytes_sha256","git_blob_size_bytes","exact_name_match","exact_order_match","contiguous_id_match","historical_tracker_hash","historical_hash_classification","applied_at","future_baseline_evidence","historical_executed_bytes_proven"
"world","632","20260504194945_world","sql/database_updates/world/20260504194945_world.sql","c13ece294c14a99bc63f30a842cab0dafb6c63f4","7B077D6DBC46E250D29EB529228870714D0FAF1F0E6202673159E49529D53A5F","70877","795C7032B3F8387DC70482909E4E509FD661E5D07C1390693528373D0D3A287F","68390","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:38","True","False"
"world","633","20260504203644_world","sql/database_updates/world/20260504203644_world.sql","5c31791a535daaab38c69b04bc0901bbc0b08597","F460255CA863518025E6CF0960809C78EFD9C01A6368F363B4D2C48C8B6CD3FC","1611","299E0EFE0F45F5B4EC9ACF8AEB6DD4DD6C73D0A783954B4827E0DC0D293D7E30","1563","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:39","True","False"
"world","634","20260504214035_world","sql/database_updates/world/20260504214035_world.sql","aa3d0cbbcbcf12dd64de063d3d44b81e63bbba45","97A3DF658870F55C7E0122EE5A866BAAF76729B13E1CF9C8EFCF056E19B725C9","41450","5167F5C6C8D355C90AC56249C1F384B6E59052DC0CBC68EEC379E9DD4989BF4A","39790","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:39","True","False"
"world","635","20260505222630_world","sql/database_updates/world/20260505222630_world.sql","758a9b3ab259e3f0fcb53303ebbb82c1073ce63a","113A94FC94430235988BC0D6121731F9EEF461F5B2E7AA431FA592434DD8E203","9403291","004D5CA5B18375950A9D143F47B5D3AA9E3C228882348768BF424FAF767EFF0E","9381211","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:42","True","False"
"world","636","20260506204945_world","sql/database_updates/world/20260506204945_world.sql","3209423981f55e8f5a3682cb1266f744e99c6a50","CC691799F70218CD93CEF19E29E5AEEDC8339DEB6BB37B8C7BD04EBC7676D552","60612","10164C541000CCFA3F2A1092EA9C66DBBAF1C9196C6C5A5531EFE7090244F0FD","60349","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:42","True","False"
"world","637","20260507165648_world","sql/database_updates/world/20260507165648_world.sql","b161fcfe05ef9d99f6b86c75a4869ece8277212e","C248F3F7ACBDF07C663A7248D2EDF9ECEA83C10A286949FC673E99BAC2DDB51B","9041990","05B99901E54836E66C0E9BA820E53567ABD7C7D87827438E199F2446B99CFF5A","9034900","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:44","True","False"
"world","638","20260507184157_world","sql/database_updates/world/20260507184157_world.sql","abeb950bb615f710f65ab6bc83403827c160b709","366EB214F703FBEFE53E67490CB181317FB5F190B49338DAD59CFCA36EF66BBD","200763","26D25CBEBC1FB23353CF6EFF244112F063AC0B36937F54EC70023C25EF6AA04F","188096","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:44","True","False"
"world","639","20260507191316_world","sql/database_updates/world/20260507191316_world.sql","a9e479f5291e8bd83190010cca1b6c01fb1d1fcd","4C3B0F9908172E0F61B2D1B7074649D48E7D9109A22A5F29F257D2DF24B47AF0","2539","8DB15C520E52ADA1D3106728C988F06DE8AAC5C2C536A868606009FF5039CA05","2475","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:45","True","False"
"world","640","20260508064255_world","sql/database_updates/world/20260508064255_world.sql","3d1af4efa3928623914e760462fbbe040f151757","98978E64FC0EFD4D26DEC28F4A3F327C3E6B7E86FE2D5BE37DAC9D8D7F9AA688","1182946","BEC8D1CA19D6456434E5BFACC42BFE5E40E461562F2E1CCF0C7EA9243D36BEF7","1146102","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:45","True","False"
"world","641","20260508192404_world","sql/database_updates/world/20260508192404_world.sql","f79d833a608c52260dc2826a8ea60fbc21c49857","58CC5E8227BA1DB24925E6D62E413C790B4E7E586030F651B6CC1010EF50C022","3321208","875FD48F74BFED0013C0B49D3948E8D721E643BB14BFF5B8026F21C6999EB190","3300172","True","True","True","manual","documented_external_manual_import_marker_non_cryptographic","2026-08-25 18:55:46","True","False"
