"database_name","Name","Hash","Module","AppliedAt"
"tw_char","20260708055500_ai_playerbot_random_bots_index","61460E23B54A25F909665D7D1AC3DC768A87166C","","2026-08-27 21:00:00"
"tw_char","20260731160000_guild_bank_money_unsigned","24BD0E3575C54EC1709EE37253D4373677322FCB","","2026-08-27 21:00:02"
"tw_char","20260812142512_character_inventory_copy","8662106E777C548A1349CB813EE1A47DB7A1785E","","2026-08-27 21:00:04"
"tw_char","20260817151028_character","557CE92CFE4B6C0B6E54316EA781459ED26F1B07","","2026-08-27 21:00:04"
"tw_world","20260504194945_world","manual","","2026-08-25 18:55:38"
"tw_world","20260504203644_world","manual","","2026-08-25 18:55:39"
"tw_world","20260504214035_world","manual","","2026-08-25 18:55:39"
"tw_world","20260505222630_world","manual","","2026-08-25 18:55:42"
"tw_world","20260506204945_world","manual","","2026-08-25 18:55:42"
"tw_world","20260507165648_world","manual","","2026-08-25 18:55:44"
"tw_world","20260507184157_world","manual","","2026-08-25 18:55:44"
"tw_world","20260507191316_world","manual","","2026-08-25 18:55:45"
"tw_world","20260508064255_world","manual","","2026-08-25 18:55:45"
"tw_world","20260508192404_world","manual","","2026-08-25 18:55:46"
"tw_world","20260509055406_world","manual","","2026-08-25 18:55:46"
"tw_world","20260510092659_world","manual","","2026-08-25 18:55:47"
"tw_world","20260511053220_world","manual","","2026-08-25 18:55:52"
"tw_world","20260511154529_world","manual","","2026-08-25 18:55:53"
"tw_world","20260511164918_world","manual","","2026-08-25 18:55:53"
"tw_world","20260511211643_world","manual","","2026-08-25 18:55:53"
"tw_world","20260512033310_world","manual","","2026-08-25 18:55:54"
"tw_world","20260512130432_world","manual","","2026-08-25 18:55:54"
"tw_world","20260512224739_world","manual","","2026-08-25 18:55:54"
"tw_world","20260513084003_world","manual","","2026-08-25 18:55:54"
"tw_world","20260513094906_world","manual","","2026-08-25 18:55:54"
"tw_world","20260513233443_world","manual","","2026-08-25 18:55:54"
"tw_world","20260514011114_world","manual","","2026-08-25 18:55:55"
"tw_world","20260514035236_world","manual","","2026-08-25 18:55:55"
"tw_world","20260516050606_world","manual","","2026-08-25 18:55:55"
"tw_world","20260516210743_world","manual","","2026-08-25 18:55:55"
"tw_world","20260517045535_world","manual","","2026-08-25 18:55:56"
"tw_world","20260517062330_world","manual","","2026-08-25 18:55:56"
"tw_world","20260517101017_world","manual","","2026-08-25 18:55:56"
"tw_world","20260517121832_world","manual","","2026-08-25 18:55:56"
"tw_world","20260518050203_world","manual","","2026-08-25 18:55:56"
"tw_world","20260522141111_world","manual","","2026-08-25 18:55:56"
"tw_world","20260523041131_world","manual","","2026-08-25 18:55:56"
"tw_world","20260526123433_world","manual","","2026-08-25 18:55:57"
"tw_world","20260526134500_world","manual","","2026-08-25 18:55:57"
"tw_world","20260527120000_world","manual","","2026-08-25 18:55:57"
"tw_world","20260528150633_world","manual","","2026-08-25 18:55:58"
"tw_world","20260529182210_world","manual","","2026-08-25 18:55:58"
"tw_world","20260530203924_world","manual","","2026-08-25 18:55:58"
"tw_world","20260602180159_world","manual","","2026-08-25 18:55:58"
"tw_world","20260603094447_world","manual","","2026-08-25 18:55:59"
"tw_world","20260604214927_world","manual","","2026-08-25 18:55:59"
"tw_world","20260604222044_world","manual","","2026-08-25 18:55:59"
"tw_world","20260605181338_world","manual","","2026-08-25 18:55:59"
"tw_world","20260606120000_world","manual","","2026-08-25 18:55:59"
"tw_world","20260606142438_world","manual","","2026-08-25 18:55:59"
"tw_world","20260608174707_world","manual","","2026-08-25 18:56:00"
"tw_world","20260610134807_world","manual","","2026-08-25 18:56:00"
"tw_world","20260614120836_world","manual","","2026-08-25 18:56:00"
"tw_world","20260614124739_world","manual","","2026-08-25 18:56:01"
"tw_world","20260617120000_world","manual","","2026-08-25 18:56:01"
"tw_world","20260618114919_world","manual","","2026-08-25 18:56:01"
"tw_world","20260618120000_world","manual","","2026-08-25 18:56:01"
"tw_world","20260619123444_world","manual","","2026-08-25 18:56:01"
"tw_world","20260619155101_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620003740_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620113716_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620120000_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620130000_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620152800_world","manual","","2026-08-25 18:56:02"
"tw_world","20260620224628_world","manual","","2026-08-25 18:56:02"
"tw_world","20260622203054_world","manual","","2026-08-25 18:56:03"
"tw_world","20260624094237_world","manual","","2026-08-25 18:56:03"
"tw_world","20260625083947_world","manual","","2026-08-25 18:56:03"
"tw_world","20260626153218_world","manual","","2026-08-25 18:56:03"
"tw_world","20260628192033_world","manual","","2026-08-25 18:56:03"
"tw_world","20260629195406_world","manual","","2026-08-25 18:56:03"
"tw_world","20260630194548_world","manual","","2026-08-25 18:56:04"
"tw_world","20260701010422_world","manual","","2026-08-25 18:56:04"
"tw_world","20260702115558_world","manual","","2026-08-25 18:56:04"
"tw_world","20260702232910_world","manual","","2026-08-25 18:56:04"
"tw_world","20260706100617_world","manual","","2026-08-25 18:56:04"
"tw_world","20260707174014_world","manual","","2026-08-25 18:56:04"
"tw_world","20260709071006_world","manual","","2026-08-25 18:56:05"
"tw_world","20260710045142_world","manual","","2026-08-25 18:56:05"
"tw_world","20260711131631_world","manual","","2026-08-25 18:56:05"
"tw_world","20260711150912_world","manual","","2026-08-25 18:56:05"
"tw_world","20260711170358_world","manual","","2026-08-25 18:56:05"
"tw_world","20260711191209_world","manual","","2026-08-25 18:56:05"
"tw_world","20260712222616_world","manual","","2026-08-25 18:56:05"
"tw_world","20260714180156_world","manual","","2026-08-25 18:56:06"
"tw_world","20260714235525_world","manual","","2026-08-25 18:56:06"
"tw_world","20260715003750_world","manual","","2026-08-25 18:56:06"
"tw_world","20260715124044_world","manual","","2026-08-25 18:56:06"
"tw_world","20260715141903_world","manual","","2026-08-25 18:56:06"
"tw_world","20260715153051_world","manual","","2026-08-25 18:56:06"
"tw_world","20260715174518_world","manual","","2026-08-25 18:56:06"
"tw_world","20260718120125_world","manual","","2026-08-25 18:56:07"
"tw_world","20260718150344_world","manual","","2026-08-25 18:56:07"
"tw_world","20260718184759_world","manual","","2026-08-25 18:56:07"
"tw_world","20260721013813_world","manual","","2026-08-25 18:56:07"
