137	15	Heriannah	9	1	1	Fusewhisk
138	21	Altali	10	2	1	Aurelith
139	39	Delyn	1	3	1	Rosemantle
140	40	Hammondor	5	4	0	Gravelmoan
141	43	Evanna	10	5	1	Selvanne
142	379	Flobivee	6	7	1	Skysong
143	12	Joboz	8	8	0	Mojozan
144	17	Nero	5	9	0	Bonechatter
145	167	Nukkeh	6	11	1	Dawnmane
146	64	Terini	10	1	1	Elaryssa
147	111	Junmin	3	2	1	Ambermead
148	45	Estellia	1	3	1	Lindenveil
149	114	Gerollo	1	4	0	Hearthwick
150	89	Yehmo	8	5	1	Zalyra
151	398	Anumdest	2	7	0	Gorrak
152	25	Jiklinklen	7	8	1	Gizmella
153	20	Amanuele	9	9	1	Gildrixa
154	226	Rellaar	4	11	0	Moonvale
155	154	Krutleenk	7	1	0	Boltcrank
156	127	Rilenia	1	2	1	Marigoldra
157	70	Dellaemou	3	3	1	Hildra
158	144	Narinaris	5	4	1	Mournelle
159	156	Kinariane	5	5	1	Wispgrave
160	501	Brist	2	7	0	Bloodhowl
161	33	Branon	10	8	0	Sunvaelor
162	42	Juxe	7	9	1	Cogwhistle
163	241	Melinne	4	11	1	Starwhisper
164	161	Fesodu	2	1	1	Zugraka
165	22	Esmerita	10	2	1	Dawnlilie
166	76	Cariona	1	3	1	Tallowyn
167	228	Aimlamdi	3	4	1	Braidgrit
168	173	Riley	5	5	1	Nightshroud
169	1168	Dinne	8	7	1	Juzika
170	36	Larisca	9	8	1	Rivetta
171	48	Caramaston	9	9	0	Coinsnatch
172	302	Unhwo	6	11	0	Hornblower
173	165	Yoviwet	6	1	0	Mesarunner
174	181	Gunug	3	2	0	Stonebeard
175	86	Zelzehdi	8	3	1	Mazzara
176	237	Iwarrett	1	4	0	Brassbell
177	210	Timeron	5	5	0	Morrowgast
178	381	Depu	6	7	0	Stormhoof
179	85	Ivando	10	8	0	Sunmarrow
180	59	Tannie	5	9	1	Bleakrose
181	234	Nythadon	4	11	0	Thalorien
182	185	Emerineva	1	1	1	Emberlynn
183	197	Geronica	1	2	1	Sparrowin
184	124	Rontoh	8	3	1	Venjari
185	407	Amancy	1	4	1	Quilleen
186	218	Larinne	1	5	1	Thistledown
187	414	Pilgito	6	7	1	Meadowhoof
188	94	Clarco	10	8	0	Dawnrithel
189	115	Lekos	7	9	1	Fizzlepop
190	300	Carshu	6	11	1	Sagebloom
191	266	Inne	6	1	0	Grasswalker
192	207	Brinerie	1	2	1	Briarwyn
193	191	Bangorn	3	3	0	Brewhammer
194	418	Olaria	5	4	1	Cindervail
195	235	Celenella	1	5	1	Maplewhisk
196	934	Rokdomm	2	7	0	Skullgrin
197	100	Daral	5	8	0	Cryptley
198	213	Redaristo	5	9	0	Hollowmere
