population_key\tbot_guid\tskill_id\tskill_value\tskill_maximum
active_random_rotation	18281	38	15	15
active_random_rotation	18281	95	13	15
active_random_rotation	18281	109	300	300
active_random_rotation	18281	162	1	15
active_random_rotation	18281	173	15	15
active_random_rotation	18281	176	1	15
active_random_rotation	18281	183	15	15
active_random_rotation	18281	220	15	15
active_random_rotation	18281	253	15	15
active_random_rotation	18281	414	1	1
active_random_rotation	18281	415	1	1
active_random_rotation	18281	673	300	300
active_random_rotation	18282	26	15	15
active_random_rotation	18282	43	15	15
active_random_rotation	18282	54	1	15
active_random_rotation	18282	55	1	15
active_random_rotation	18282	95	10	15
active_random_rotation	18282	98	300	300
active_random_rotation	18282	137	300	300
active_random_rotation	18282	162	1	15
active_random_rotation	18282	183	15	15
active_random_rotation	18282	413	1	1
active_random_rotation	18282	414	1	1
active_random_rotation	18282	415	1	1
active_random_rotation	18282	433	1	1
active_random_rotation	18283	26	5	5
active_random_rotation	18283	44	1	5
active_random_rotation	18283	54	1	5
active_random_rotation	18283	95	1	5
active_random_rotation	18283	98	300	300
active_random_rotation	18283	101	5	5
active_random_rotation	18283	111	300	300
active_random_rotation	18283	162	1	5
active_random_rotation	18283	172	4	5
active_random_rotation	18283	183	5	5
active_random_rotation	18283	413	1	1
active_random_rotation	18283	414	1	1
active_random_rotation	18283	415	1	1
active_random_rotation	18283	433	1	1
active_random_rotation	18284	6	10	10
active_random_rotation	18284	8	10	10
active_random_rotation	18284	95	10	10
active_random_rotation	18284	98	300	300
active_random_rotation	18284	136	5	10
active_random_rotation	18284	162	1	10
active_random_rotation	18284	183	10	10
active_random_rotation	18284	228	1	10
active_random_rotation	18284	415	1	1
active_random_rotation	18284	754	10	10
active_random_rotation	18285	38	15	15
active_random_rotation	18285	95	15	15
active_random_rotation	18285	98	300	300
active_random_rotation	18285	137	300	300
active_random_rotation	18285	162	1	15
active_random_rotation	18285	173	15	15
active_random_rotation	18285	176	1	15
active_random_rotation	18285	183	15	15
active_random_rotation	18285	253	15	15
active_random_rotation	18285	414	1	1
active_random_rotation	18285	415	1	1
active_random_rotation	18286	45	5	15
active_random_rotation	18286	51	15	15
active_random_rotation	18286	95	15	15
active_random_rotation	18286	98	300	300
active_random_rotation	18286	162	1	15
active_random_rotation	18286	163	15	15
active_random_rotation	18286	173	15	15
active_random_rotation	18286	183	15	15
active_random_rotation	18286	414	1	1
active_random_rotation	18286	415	1	1
active_random_rotation	18286	754	15	15
active_random_rotation	18287	45	1	5
active_random_rotation	18287	51	5	5
active_random_rotation	18287	95	1	5
active_random_rotation	18287	98	300	300
active_random_rotation	18287	137	300	300
active_random_rotation	18287	162	1	5
active_random_rotation	18287	163	5	5
active_random_rotation	18287	173	1	5
active_random_rotation	18287	183	5	5
active_random_rotation	18287	414	1	1
